movie_title,genre
Snow White and the Seven Dwarfs,Musical
Pinocchio,Adventure
Fantasia,Musical
Song of the South,Adventure
Cinderella,Drama
"20,000 Leagues Under the Sea",Adventure
Lady and the Tramp,Drama
Sleeping Beauty,Drama
101 Dalmatians,Comedy
The Absent Minded Professor,Comedy
Babes in Toyland,Musical
Bon Voyage!,Comedy
The Sword in the Stone,Adventure
The Jungle Book,Musical
Blackbeard's Ghost,Comedy
The Aristocats,Musical
The Boatniks,Comedy
Bedknobs and Broomsticks,Musical
The Apple Dumpling Gang,Comedy
Freaky Friday,Comedy
The Many Adventures of Winnie the Pooh,
The Rescuers,Adventure
Herbie Goes to Monte Carlo,
The Black Hole,
Midnight Madness,
The Last Flight of Noah’s Ark,
The Devil and Max Devlin,
Amy,Drama
The Fox and the Hound,Comedy
Condorman,Action
Night Crossing,Drama
Tron,Action
Tex,Drama
Trenchcoat,Comedy
Something Wicked This Way Comes,Horror
Never Cry Wolf,Drama
Running Brave,Drama
Splash,Comedy
Country,Drama
Baby: Secret of the Lost Legend,Adventure
Return to Oz,Adventure
The Black Cauldron,Adventure
My Science Project,Comedy
The Journey of Natty Gann,Drama
One Magic Christmas,Drama
Down and Out in Beverly Hills,Comedy
Off Beat,Comedy
Ruthless People,Comedy
The Great Mouse Detective,Adventure
Flight of the Navigator,Adventure
Tough Guys,Comedy
The Color of Money,Drama
Outrageous Fortune,Comedy
Tin Men,Comedy
Ernest Goes to Camp,Comedy
Benji the Hunted,Adventure
Adventures in Babysitting,Comedy
Stakeout,Comedy
Can't Buy Me Love,Romantic Comedy
Hello Again,Comedy
3 Men and a Baby,Comedy
Good Morning Vietnam,Comedy
Shoot to Kill,Action
D.O.A.,Thriller/Suspense
Return to Snowy River,Adventure
Big Business,Comedy
Who Framed Roger Rabbit?,Comedy
Cocktail,Drama
The Rescue,Action
Heartbreak Hotel,Comedy
The Good Mother,Drama
Ernest Saves Christmas,Comedy
Oliver & Company,Adventure
Beaches,Drama
Three Fugitives,Comedy
New York Stories,Drama
Disorganized Crime,Comedy
Dead Poets Society,Drama
"Honey, I Shrunk the Kids",Adventure
Turner & Hooch,Comedy
Cheetah,Adventure
An Innocent Man,Drama
Gross Anatomy,Drama
The Little Mermaid,Adventure
Blaze,Drama
Stella,Drama
Where the Heart Is,Comedy
Pretty Woman,Romantic Comedy
Ernest Goes to Jail,Comedy
Spaced Invaders,Comedy
Fire Birds,Action
Dick Tracy,Action
Betsy's Wedding,Comedy
Arachnophobia,Thriller/Suspense
DuckTales: The Movie - Treasure of th…,Adventure
Taking Care of Business,Comedy
Mr. Destiny,Comedy
The Rescuers Down Under,Adventure
3 Men and a Little Lady,Comedy
Green Card,Romantic Comedy
White Fang,Adventure
Scenes from a Mall,Comedy
Haakon Haakonsen,Adventure
The Marrying Man,Romantic Comedy
Oscar,Comedy
One Good Cop,Action
What About Bob?,Comedy
Wild Hearts Can't Be Broken,Drama
The Rocketeer,Action
The Doctor,Drama
Paradise,Drama
Deceived,Thriller/Suspense
Ernest Scared Stupid,Comedy
